id,color_count,object1,color1,object2,color2,object3,color3,prompt
1,2,hat,Light pink,suitcase,Vivid red,,,A Light pink hat resting on a Vivid red suitcase.
2,2,minivan,Light grayish red,bicycle,Grayish red,,,A Light grayish red minivan parked beside a Grayish red bicycle in the driveway.
3,2,snowboard,Vivid yellowish pink,skis,Grayish yellowish pink,,,A Vivid yellowish pink snowboard resting against Grayish yellowish pink skis by the cabin.
4,2,carrot,Vivid reddish orange,broccoli,Grayish reddish orange,,,A Vivid reddish orange carrot and a Grayish reddish orange broccoli on a cutting board.
5,3,couch,Deep reddish brown,table,Light grayish reddish brown,vase,Deep orange,A Deep reddish brown couch with a Light grayish reddish brown table and a Deep orange vase in the living room.
6,3,boat,Light orange,jeep,Strong brown,airplane,Deep orange yellow,"A Light orange boat, a Strong brown jeep, and a Deep orange yellow airplane at the lakeside."
7,2,sheep,Grayish yellowish brown,horse,Vivid greenish yellow,,,A Grayish yellowish brown sheep grazing next to a Vivid greenish yellow horse in the meadow.
8,2,pillow,Light greenish yellow,curtain,Grayish greenish yellow,,,A Light greenish yellow pillow on the bed near a Grayish greenish yellow curtain by the window.
9,2,skateboard,Grayish olive,frisbee,Dark grayish olive,,,A Grayish olive skateboard beside a Dark grayish olive frisbee on the grass.
10,2,tie,Light olive gray,suit,Vivid yellow green,,,A Light olive gray tie draped over a Vivid yellow green suit in the closet.
11,2,baseball bat,Deep yellow green,golf ball,Light yellow green,,,A Deep yellow green baseball bat next to a Light yellow green golf ball on the floor.
12,2,refrigerator,Grayish yellow green,oven,Strong olive green,,,A Grayish yellow green refrigerator beside a Strong olive green oven in the kitchen.
13,3,dog,Deep yellowish green,cat,Vivid green,horse,Light green,A Deep yellowish green dog next to a Vivid green cat and a Light green horse in the yard.
14,2,duck,Grayish green,cow,Vivid blue,,,A Grayish green duck swimming near a Vivid blue cow by the pond.
15,2,clock,Deep blue,candle,Grayish blue,,,A Deep blue clock beside a Grayish blue candle on the mantle.
16,2,backpack,Light bluish gray,bicycle,Grayish violet,,,A Light bluish gray backpack hanging on a Grayish violet bicycle.
17,3,papaya,Vivid purple,guava,Deep purple,carrot,Light reddish purple,"A Vivid purple papaya, a Deep purple guava, and a Light reddish purple carrot on the table."
