id,color_name,r,g,b,object,prompt
1,Pink,230,134,151,boxing glove,"A boxing glove colored rgb(230, 134, 151)."
2,Pink,230,134,151,clock,"A photo of a clock in color rgb(230, 134, 151)."
3,Pink,230,134,151,vehicle,"A realistic vehicle in rgb(230, 134, 151)."
4,Pink,230,134,151,baseball bat,"A baseball bat with color rgb(230, 134, 151)."
5,Pink,230,134,151,sports ball,"A sports ball in rgb(230, 134, 151)."
6,Pink,230,134,151,umbrella,"A umbrella rendered in RGB color rgb(230, 134, 151)."
7,Pink,230,134,151,chair,"A chair colored rgb(230, 134, 151)."
8,Pink,230,134,151,couch,"An image of a couch in rgb(230, 134, 151)."
9,Pink,230,134,151,parrot,"A parrot with color rgb(230, 134, 151)."
10,Pink,230,134,151,banana,"A banana rendered in RGB color rgb(230, 134, 151)."
11,Pink,230,134,151,wardrobe,"A photo of a wardrobe in color rgb(230, 134, 151)."
12,Pink,230,134,151,bus,"An image of a bus in rgb(230, 134, 151)."
13,Pink,230,134,151,iron,"A iron with the color rgb(230, 134, 151)."
14,Pink,230,134,151,sweatshirt,"A sweatshirt with the color rgb(230, 134, 151)."
15,Pink,230,134,151,suitcase,"A suitcase colored rgb(230, 134, 151)."
16,Pink,230,134,151,sponge,"A sponge with the color rgb(230, 134, 151)."
17,Pink,230,134,151,skateboard,"An image of a skateboard in rgb(230, 134, 151)."
18,Pink,230,134,151,oven,"An image of a oven in rgb(230, 134, 151)."
19,Pink,230,134,151,bicycle,"A bicycle with color rgb(230, 134, 151)."
20,Pink,230,134,151,ruler,"A ruler in rgb(230, 134, 151)."
21,Pink,230,134,151,pants,"A realistic pants in rgb(230, 134, 151)."
22,Pink,230,134,151,sports car,"A sports car with the color rgb(230, 134, 151)."
23,Pink,230,134,151,remote,"A remote colored rgb(230, 134, 151)."
24,Pink,230,134,151,mango,"A mango with the color rgb(230, 134, 151)."
25,Pink,230,134,151,papaya,"A papaya with color rgb(230, 134, 151)."
26,Red,185,40,66,boxing glove,"A boxing glove with the color rgb(185, 40, 66)."
27,Red,185,40,66,football helmet,"A football helmet rendered in RGB color rgb(185, 40, 66)."
28,Red,185,40,66,taxi,"A photo of a taxi in color rgb(185, 40, 66)."
29,Red,185,40,66,sweatshirt,"A sweatshirt rendered in RGB color rgb(185, 40, 66)."
30,Red,185,40,66,tie,"A realistic tie in rgb(185, 40, 66)."
31,Red,185,40,66,apple,"A apple colored rgb(185, 40, 66)."
32,Red,185,40,66,bus,"A bus with color rgb(185, 40, 66)."
33,Red,185,40,66,umbrella,"A photo of a umbrella in color rgb(185, 40, 66)."
34,Red,185,40,66,microwave,"An image of a microwave in rgb(185, 40, 66)."
35,Red,185,40,66,banana,"A banana in rgb(185, 40, 66)."
36,Red,185,40,66,pants,"A photo of a pants in color rgb(185, 40, 66)."
37,Red,185,40,66,couch,"A couch in rgb(185, 40, 66)."
38,Red,185,40,66,mango,"An image of a mango in rgb(185, 40, 66)."
39,Red,185,40,66,baseball bat,"A baseball bat colored rgb(185, 40, 66)."
40,Red,185,40,66,desk,"A desk with color rgb(185, 40, 66)."
