id,color,object,ref_object,prompt
1,Light pink,parrot,elephant,A Light pink parrot perches near an elephant of the same color.
2,Light pink,banana,apple,A Light pink banana rests next to an apple of identical color.
3,Light pink,suitcase,handbag,A Light pink suitcase rests next to a handbag of matching color.
4,Light pink,microwave,oven,A Light pink microwave sits next to an oven of matching color.
5,Light pink,mango,papaya,A Light pink mango is placed next to a papaya of the same color.
6,Vivid red,skateboard,skis,A Vivid red skateboard lies near skis of matching color.
7,Vivid red,mug,teapot,A Vivid red mug sits beside a teapot of the same color.
8,Vivid red,minivan,bicycle,A Vivid red minivan is parked near a bicycle of the same color.
9,Vivid red,snowboard,skis,A Vivid red snowboard leans against skis of identical color.
10,Vivid red,carrot,orange,A Vivid red carrot lies close to an orange of identical color.
11,Light grayish red,motorcycle,truck,A Light grayish red motorcycle is parked beside a truck of the same color.
12,Light grayish red,knife,cutting board,A Light grayish red knife rests on a cutting board of matching color.
13,Light grayish red,chair,bookcase,A Light grayish red chair is positioned near a bookcase of the same color.
14,Light grayish red,cat,horse,A Light grayish red cat sits near a horse of the same color.
15,Light grayish red,jeans,T-shirt,A Light grayish red jeans are folded next to a T-shirt of the same color.
16,Grayish red,banana,apple,A Grayish red banana rests next to an apple of identical color.
17,Grayish red,crocodile,turtle,A Grayish red crocodile rests near a turtle of matching color.
18,Grayish red,balloon,teddybear,A Grayish red balloon floats near a teddybear of the same color.
19,Grayish red,baseball glove,baseball bat,A Grayish red baseball glove lies beside a baseball bat of identical color.
20,Grayish red,fan,sponge,A Grayish red fan sits beside a sponge of matching color.
21,Vivid yellowish pink,orange,carrot,A Vivid yellowish pink orange lies near a carrot of the same color.
22,Vivid yellowish pink,bicycle,motorcycle,A Vivid yellowish pink bicycle is parked beside a motorcycle of identical color.
23,Vivid yellowish pink,bear,sheep,A Vivid yellowish pink bear stands near a sheep of the same color.
24,Vivid yellowish pink,snowboard,skis,A Vivid yellowish pink snowboard leans against skis of identical color.
25,Vivid yellowish pink,banana,strawberry,A Vivid yellowish pink banana is placed next to a strawberry of the same color.
26,Grayish yellowish pink,orange,carrot,A Grayish yellowish pink orange lies near a carrot of the same color.
27,Grayish yellowish pink,suitcase,umbrella,A Grayish yellowish pink suitcase stands next to an umbrella of matching color.
28,Grayish yellowish pink,chair,bookcase,A Grayish yellowish pink chair is positioned near a bookcase of the same color.
29,Grayish yellowish pink,umbrella,backpack,A Grayish yellowish pink umbrella leans against a backpack of matching color.
30,Grayish yellowish pink,mug,teapot,A Grayish yellowish pink mug sits beside a teapot of the same color.
31,Vivid reddish orange,knife,cutting board,A Vivid reddish orange knife rests on a cutting board of matching color.
32,Vivid reddish orange,hammer,wrench,A Vivid reddish orange hammer lies beside a wrench of the same color.
