id,color,main_obj,sec_obj,prompt
1,Light pink,golf ball,putting green,A Light pink golf ball on a putting green.
2,Light pink,taxi,building,A Light pink taxi in front of a building.
3,Light pink,mango,lemon,A Light pink mango in a fruit bowl with a lemon.
4,Light pink,computer mouse,desk,A Light pink computer mouse on a desk.
5,Light pink,lipstick,vanity mirror,A Light pink lipstick on a vanity mirror.
6,Light pink,desk,home office,A Light pink desk in a home office.
7,Light pink,candle,mirror,A Light pink candle beside a mirror.
8,Light pink,airplane,runway,A Light pink airplane at the runway gate.
9,Vivid red,computer mouse,desk,A Vivid red computer mouse on a desk.
10,Vivid red,motorcycle,street corner,A Vivid red motorcycle on a street corner.
11,Vivid red,refrigerator,kitchen,A Vivid red refrigerator in the corner of the kitchen.
12,Vivid red,sports ball,gym floor,A Vivid red sports ball on a gym floor.
13,Vivid red,truck,loading dock,A Vivid red truck beside a loading dock.
14,Vivid red,boxing glove,shelf,A Vivid red boxing glove placed on a shelf.
15,Vivid red,jacket,coat rack,A Vivid red jacket hanging on a coat rack.
16,Vivid red,strawberry,dessert plate,A Vivid red strawberry on top of a dessert plate.
17,Light grayish red,mango,lemon,A Light grayish red mango in a fruit bowl with a lemon.
18,Light grayish red,truck,loading dock,A Light grayish red truck beside a loading dock.
19,Light grayish red,mug,books,A Light grayish red mug on a desk with books.
20,Light grayish red,wardrobe,small chair,A Light grayish red wardrobe beside a small chair.
21,Light grayish red,towel,bathroom rack,A Light grayish red towel hanging on a bathroom rack.
22,Light grayish red,surfboard,sandy beach,A Light grayish red surfboard standing on a sandy beach.
23,Light grayish red,baseball glove,bench,A Light grayish red baseball glove on a bench.
24,Light grayish red,clock,white wall,A Light grayish red clock on a white wall.
25,Grayish red,remote,coffee table,A Grayish red remote on a coffee table.
26,Grayish red,microwave,kitchen shelf,A Grayish red microwave on a kitchen shelf.
27,Grayish red,ruler,notebook,A Grayish red ruler beside an open notebook.
28,Grayish red,sports ball,gym floor,A Grayish red sports ball on a gym floor.
29,Grayish red,T-shirt,table,A Grayish red T-shirt folded on a table.
30,Grayish red,candle,mirror,A Grayish red candle beside a mirror.
31,Grayish red,tie,hanger,A Grayish red tie draped over a hanger.
32,Grayish red,boxing glove,shelf,A Grayish red boxing glove placed on a shelf.
33,Vivid yellowish pink,lipstick,vanity mirror,A Vivid yellowish pink lipstick on a vanity mirror.
34,Vivid yellowish pink,apple,plate,A Vivid yellowish pink apple on a white plate.
35,Vivid yellowish pink,wrench,toolbox,A Vivid yellowish pink wrench beside a toolbox.
36,Vivid yellowish pink,minivan,driveway,A Vivid yellowish pink minivan parked in a driveway.
37,Vivid yellowish pink,ruler,notebook,A Vivid yellowish pink ruler beside an open notebook.
38,Vivid yellowish pink,jacket,coat rack,A Vivid yellowish pink jacket hanging on a coat rack.
39,Vivid yellowish pink,horse,stable,A Vivid yellowish pink horse standing in a stable.
40,Vivid yellowish pink,boat,pier,A Vivid yellowish pink boat docked at a pier.
41,Grayish yellowish pink,mug,books,A Grayish yellowish pink mug on a desk with books.
42,Grayish yellowish pink,wrench,toolbox,A Grayish yellowish pink wrench beside a toolbox.
43,Grayish yellowish pink,horse,stable,A Grayish yellowish pink horse standing in a stable.
44,Grayish yellowish pink,motorcycle,street corner,A Grayish yellowish pink motorcycle on a street corner.
45,Grayish yellowish pink,truck,loading dock,A Grayish yellowish pink truck beside a loading dock.
46,Grayish yellowish pink,owl,wooden stump,A Grayish yellowish pink owl perched on a wooden stump.
47,Grayish yellowish pink,bus,bus stop,A Grayish yellowish pink bus at a bus stop.
48,Grayish yellowish pink,cow,wooden fence,A Grayish yellowish pink cow near a wooden fence.
49,Vivid reddish orange,sheep,green field,A Vivid reddish orange sheep grazing on a green field.
50,Vivid reddish orange,surfboard,sandy beach,A Vivid reddish orange surfboard standing on a sandy beach.
51,Vivid reddish orange,book,nightstand,A Vivid reddish orange book on a nightstand.
52,Vivid reddish orange,broccoli,cutting board,A Vivid reddish orange broccoli beside a cutting board.
53,Vivid reddish orange,knife,cutting board,A Vivid reddish orange knife on a cutting board.
54,Vivid reddish orange,coat,door,A Vivid reddish orange coat hanging near the door.
55,Vivid reddish orange,wallet,wooden table,A Vivid reddish orange wallet on a wooden table.
56,Vivid reddish orange,jeep,dirt road,A Vivid reddish orange jeep driving along a dirt road.
57,Grayish reddish orange,owl,wooden stump,A Grayish reddish orange owl perched on a wooden stump.
58,Grayish reddish orange,car,sidewalk,A Grayish reddish orange car parked near a sidewalk.
59,Grayish reddish orange,kite,clear sky,A Grayish reddish orange kite flying in a clear sky.
60,Grayish reddish orange,curtain,window frame,A Grayish reddish orange curtain hanging by a window.
61,Grayish reddish orange,football helmet,locker room bench,A Grayish reddish orange football helmet on a locker room bench.
62,Grayish reddish orange,skateboard,concrete ramp,A Grayish reddish orange skateboard on a concrete ramp.
63,Grayish reddish orange,parrot,tree branch,A Grayish reddish orange parrot on a tree branch.
64,Grayish reddish orange,snowboard,wall,A Grayish reddish orange snowboard resting against a wall.
65,Deep reddish brown,teapot,breakfast tray,A Deep reddish brown teapot on a breakfast tray.
66,Deep reddish brown,fan,window,A Deep reddish brown fan placed near a window.
67,Deep reddish brown,lemon,breakfast tray,A Deep reddish brown lemon on a breakfast tray.
68,Deep reddish brown,broccoli,cutting board,A Deep reddish brown broccoli beside a cutting board.
