id,color,object,prompt
1,Pink,boxing glove,A single Pink boxing glove.
2,Pink,clock,The clock is Pink.
3,Pink,vehicle,A Pink colored vehicle.
4,Pink,baseball bat,A Pink colored baseball bat.
5,Pink,sports ball,A sports ball rendered in Pink color.
6,Pink,umbrella,An image of a Pink umbrella.
7,Pink,chair,A Pink chair.
8,Pink,couch,A realistic couch in Pink.
9,Pink,parrot,"A parrot, and it's Pink."
10,Pink,banana,A banana in a Pink color.
11,Pink,wardrobe,The wardrobe is Pink.
12,Pink,bus,A single Pink bus.
13,Pink,iron,The iron is Pink.
14,Pink,sweatshirt,A sweatshirt in a Pink color.
15,Pink,suitcase,An image of a Pink suitcase.
16,Pink,sponge,A sponge with a Pink color.
17,Pink,skateboard,A skateboard rendered in Pink color.
18,Pink,oven,A Pink colored oven.
19,Pink,bicycle,A bicycle rendered in Pink color.
20,Pink,ruler,A ruler that is entirely Pink.
21,Pink,pants,A realistic pants in Pink.
22,Pink,sports car,The sports car is Pink.
23,Pink,remote,A Pink remote.
24,Pink,mango,A mango with a Pink color.
25,Pink,papaya,A papaya that is entirely Pink.
26,Pink,mug,An image of a Pink mug.
27,Pink,candle,The candle is Pink.
28,Pink,fan,A fan that is entirely Pink.
29,Pink,football helmet,The football helmet is Pink.
30,Pink,jeans,A single Pink jeans.
31,Pink,crocodile,An image of a Pink crocodile.
32,Pink,cow,"A cow, and it's Pink."
33,Pink,guava,A guava with a Pink color.
34,Pink,snowboard,A Pink colored snowboard.
35,Pink,apple,A photo of a Pink apple.
36,Pink,socks,A Pink colored socks.
37,Pink,orange,A Pink colored orange.
38,Pink,tie,A tie that is entirely Pink.
39,Pink,duck,A duck with a Pink color.
40,Pink,desk,An image of a Pink desk.
41,Red,sponge,A sponge rendered in Red color.
42,Red,iron,A single Red iron.
43,Red,snowboard,A snowboard rendered in Red color.
44,Red,apple,A single Red apple.
45,Red,pants,A Red colored pants.
46,Red,boxing glove,A boxing glove that is entirely Red.
47,Red,bear,A photo of a Red bear.
48,Red,parrot,A parrot in a Red color.
49,Red,sports ball,"A sports ball, and it's Red."
50,Red,football helmet,The football helmet is Red.
51,Red,desk,A Red desk.
52,Red,mango,The mango is Red.
53,Red,baseball bat,A photo of a Red baseball bat.
54,Red,umbrella,A umbrella with a Red color.
