id,color_count,object1,color1,object2,color2,object3,color3,prompt
1,2,hat,Pink,suitcase,Red,,,A Pink hat resting on a Red suitcase.
2,2,minivan,Yellowish pink,bicycle,Reddish orange,,,A Yellowish pink minivan parked beside a Reddish orange bicycle in the driveway.
3,2,snowboard,Reddish brown,skis,Orange,,,A Reddish brown snowboard resting against Orange skis by the cabin.
4,2,carrot,Brown,broccoli,Orange yellow,,,A Brown carrot and a Orange yellow broccoli on a cutting board.
5,3,couch,Yellowish brown,table,Yellow,vase,Olive brown,A Yellowish brown couch with a Yellow table and a Olive brown vase in the living room.
6,3,boat,Greenish yellow,jeep,Olive,airplane,Yellow green,"A Greenish yellow boat, a Olive jeep, and a Yellow green airplane at the lakeside."
7,2,sheep,Olive green,horse,Yellowish green,,,A Olive green sheep grazing next to a Yellowish green horse in the meadow.
8,2,pillow,Green,curtain,Bluish green,,,A Green pillow on the bed near a Bluish green curtain by the window.
9,2,skateboard,Greenish blue,frisbee,Blue,,,A Greenish blue skateboard beside a Blue frisbee on the grass.
10,2,tie,Purplish blue,suit,Violet,,,A Purplish blue tie draped over a Violet suit in the closet.
11,2,baseball bat,Purple,golf ball,Reddish purple,,,A Purple baseball bat next to a Reddish purple golf ball on the floor.
12,2,refrigerator,Purplish pink,oven,Purplish red,,,A Purplish pink refrigerator beside a Purplish red oven in the kitchen.
13,3,dog,White,cat,Gray,horse,Black,A White dog next to a Gray cat and a Black horse in the yard.
14,2,duck,Pink,cow,Red,,,A Pink duck swimming near a Red cow by the pond.
15,2,clock,Yellowish pink,candle,Reddish orange,,,A Yellowish pink clock beside a Reddish orange candle on the mantle.
16,2,backpack,Reddish brown,bicycle,Orange,,,A Reddish brown backpack hanging on a Orange bicycle.
17,3,papaya,Brown,guava,Orange yellow,carrot,Yellowish brown,"A Brown papaya, a Orange yellow guava, and a Yellowish brown carrot on the table."
18,3,surfboard,Yellow,kite,Olive brown,frisbee,Greenish yellow,"A Yellow surfboard, a Olive brown kite, and a Greenish yellow frisbee on the beach."
19,2,knife,Olive,cutting board,Yellow green,,,A Olive knife on a Yellow green cutting board in the kitchen.
20,2,umbrella,Olive green,car,Yellowish green,,,A Olive green umbrella leaning against a Yellowish green car.
21,2,remote,Green,computer mouse,Bluish green,,,A Green remote beside a Bluish green computer mouse on the desk.
22,3,remote,Greenish blue,computer mouse,Blue,fan,Purplish blue,"A Greenish blue remote, a Blue computer mouse, and a Purplish blue fan on the desk."
23,3,wardrobe,Violet,bookcase,Purple,desk,Reddish purple,A Violet wardrobe beside a Purple bookcase and a Reddish purple desk in the room.
24,3,broccoli,Purplish pink,orange,Purplish red,apple,White,A Purplish pink broccoli beside a Purplish red orange and a White apple on the counter.
25,2,backpack,Gray,umbrella,Black,,,A Gray backpack leaning against a Black umbrella by the door.
26,2,boat,Pink,jeep,Red,,,A Pink boat docked near a Red jeep at the marina.
27,2,socks,Yellowish pink,towel,Reddish orange,,,A Yellowish pink socks next to a Reddish orange towel on the dresser.
28,3,chair,Reddish brown,desk,Orange,bookcase,Brown,"A Reddish brown chair, a Orange desk, and a Brown bookcase in the office."
29,2,T-shirt,Orange yellow,jeans,Yellowish brown,,,A Orange yellow T-shirt and Yellowish brown jeans folded on the bed.
30,2,teddybear,Yellow,balloon,Olive brown,,,A Yellow teddybear holding a Olive brown balloon on the bed.
31,3,strawberry,Greenish yellow,mango,Olive,lemon,Yellow green,"A Greenish yellow strawberry, a Olive mango, and a Yellow green lemon on a plate."
32,2,surfboard,Olive green,kite,Yellowish green,,,A Olive green surfboard leaning near a Yellowish green kite on the beach.
33,2,sports ball,Green,baseball glove,Bluish green,,,A Green sports ball next to a Bluish green baseball glove on the bench.
34,3,hat,Greenish blue,suitcase,Blue,umbrella,Purplish blue,"A Greenish blue hat, a Blue suitcase, and a Purplish blue umbrella at the entrance."
35,2,microwave,Violet,toaster,Purple,,,A Violet microwave next to a Purple toaster on the counter.
36,3,backpack,Reddish purple,umbrella,Purplish pink,suitcase,Purplish red,"A Reddish purple backpack, a Purplish pink umbrella, and a Purplish red suitcase by the door."
37,2,dog,White,cat,Gray,,,A White dog sitting beside a Gray cat on the floor.
38,2,sweatshirt,Black,pants,Pink,,,A Black sweatshirt folded beside Pink pants on the shelf.
39,2,vase,Red,clock,Yellowish pink,,,A Red vase next to a Yellowish pink clock on the shelf.
40,2,owl,Reddish orange,cat,Reddish brown,,,A Reddish orange owl perched above a Reddish brown cat at night.
41,3,bicycle,Orange,motorcycle,Brown,airplane,Orange yellow,"A Orange bicycle, a Brown motorcycle, and a Orange yellow airplane at the airport."
42,3,cow,Yellowish brown,sheep,Yellow,elephant,Olive brown,"A Yellowish brown cow, a Yellow sheep, and a Olive brown elephant at the zoo."
