id,color,object,prompt
1,Pink,boxing glove,A photo of a Pink boxing glove.
2,Pink,clock,A clock that is entirely Pink.
3,Pink,vehicle,A Pink colored vehicle.
4,Pink,baseball bat,The baseball bat is Pink.
5,Pink,sports ball,The sports ball is Pink.
6,Pink,umbrella,A single Pink umbrella.
7,Pink,chair,The chair is Pink.
8,Pink,couch,A Pink colored couch.
9,Pink,parrot,A Pink colored parrot.
10,Pink,banana,A banana rendered in Pink color.
11,Pink,wardrobe,An image of a Pink wardrobe.
12,Pink,bus,A Pink bus.
13,Pink,iron,A realistic iron in Pink.
14,Pink,sweatshirt,"A sweatshirt, and it's Pink."
15,Pink,suitcase,A suitcase in a Pink color.
16,Pink,sponge,The sponge is Pink.
17,Pink,skateboard,A single Pink skateboard.
18,Pink,oven,The oven is Pink.
19,Pink,bicycle,A bicycle in a Pink color.
20,Pink,ruler,An image of a Pink ruler.
21,Pink,pants,A pants with a Pink color.
22,Pink,sports car,A sports car rendered in Pink color.
23,Pink,remote,A Pink colored remote.
24,Pink,mango,A mango rendered in Pink color.
25,Pink,papaya,A papaya that is entirely Pink.
26,Pink,mug,A realistic mug in Pink.
27,Pink,candle,The candle is Pink.
28,Pink,fan,A Pink fan.
29,Pink,football helmet,A football helmet with a Pink color.
30,Pink,jeans,A jeans that is entirely Pink.
31,Pink,crocodile,An image of a Pink crocodile.
32,Pink,cow,The cow is Pink.
33,Pink,guava,A guava that is entirely Pink.
34,Pink,snowboard,The snowboard is Pink.
35,Pink,apple,A single Pink apple.
36,Red,baseball bat,A baseball bat that is entirely Red.
37,Red,desk,A desk with a Red color.
38,Red,boxing glove,"A boxing glove, and it's Red."
39,Red,taxi,A single Red taxi.
40,Red,bear,A bear with a Red color.
41,Red,ruler,"A ruler, and it's Red."
42,Red,sports car,A photo of a Red sports car.
43,Red,suitcase,An image of a Red suitcase.
44,Red,fan,A photo of a Red fan.
45,Red,apple,A apple that is entirely Red.
46,Red,snowboard,A realistic snowboard in Red.
47,Red,parrot,A parrot in a Red color.
48,Red,sports ball,A sports ball in a Red color.
49,Red,jeans,An image of a Red jeans.
50,Red,sponge,A realistic sponge in Red.
51,Red,tie,A tie rendered in Red color.
52,Red,chair,A single Red chair.
53,Red,remote,A remote rendered in Red color.
54,Red,football helmet,A single Red football helmet.
55,Red,socks,A Red colored socks.
56,Red,clock,A clock that is entirely Red.
57,Red,minivan,A photo of a Red minivan.
58,Red,crocodile,A crocodile in a Red color.
59,Red,vehicle,"A vehicle, and it's Red."
60,Red,guava,The guava is Red.
61,Red,wardrobe,A Red wardrobe.
62,Red,iron,The iron is Red.
63,Red,candle,A photo of a Red candle.
64,Red,mug,A mug with a Red color.
65,Red,bus,A photo of a Red bus.
66,Red,couch,A couch with a Red color.
67,Red,umbrella,A single Red umbrella.
68,Red,elephant,A elephant rendered in Red color.
69,Red,cow,The cow is Red.
70,Red,banana,A single Red banana.
71,Yellowish pink,mango,A Yellowish pink mango.
72,Yellowish pink,pants,A pants rendered in Yellowish pink color.
73,Yellowish pink,desk,A Yellowish pink colored desk.
74,Yellowish pink,duck,"A duck, and it's Yellowish pink."
75,Yellowish pink,skateboard,A Yellowish pink skateboard.
76,Yellowish pink,jeans,The jeans is Yellowish pink.
77,Yellowish pink,bicycle,A Yellowish pink colored bicycle.
78,Yellowish pink,clock,An image of a Yellowish pink clock.
79,Yellowish pink,parrot,A parrot that is entirely Yellowish pink.
80,Yellowish pink,baseball bat,A Yellowish pink baseball bat.
81,Yellowish pink,minivan,A minivan that is entirely Yellowish pink.
82,Yellowish pink,sponge,A sponge rendered in Yellowish pink color.
83,Yellowish pink,microwave,The microwave is Yellowish pink.
84,Yellowish pink,wardrobe,The wardrobe is Yellowish pink.
85,Yellowish pink,bear,A realistic bear in Yellowish pink.
86,Yellowish pink,umbrella,"A umbrella, and it's Yellowish pink."
87,Yellowish pink,football helmet,The football helmet is Yellowish pink.
88,Yellowish pink,taxi,A taxi in a Yellowish pink color.
89,Yellowish pink,teapot,A photo of a Yellowish pink teapot.
90,Yellowish pink,chair,A photo of a Yellowish pink chair.
91,Yellowish pink,snowboard,A snowboard with a Yellowish pink color.
92,Yellowish pink,fan,"A fan, and it's Yellowish pink."
93,Yellowish pink,banana,A banana in a Yellowish pink color.
94,Yellowish pink,guava,A photo of a Yellowish pink guava.
95,Yellowish pink,orange,An image of a Yellowish pink orange.
96,Yellowish pink,remote,A remote in a Yellowish pink color.
97,Yellowish pink,elephant,A elephant rendered in Yellowish pink color.
98,Yellowish pink,sports car,A single Yellowish pink sports car.
99,Yellowish pink,couch,A couch that is entirely Yellowish pink.
100,Yellowish pink,apple,A apple in a Yellowish pink color.
101,Yellowish pink,cow,A realistic cow in Yellowish pink.
102,Yellowish pink,tie,A realistic tie in Yellowish pink.
103,Yellowish pink,bus,A bus that is entirely Yellowish pink.
104,Yellowish pink,papaya,A realistic papaya in Yellowish pink.
105,Yellowish pink,candle,An image of a Yellowish pink candle.
106,Reddish orange,guava,A guava that is entirely Reddish orange.
107,Reddish orange,ruler,"A ruler, and it's Reddish orange."
108,Reddish orange,snowboard,A single Reddish orange snowboard.
109,Reddish orange,taxi,A taxi that is entirely Reddish orange.
110,Reddish orange,teapot,The teapot is Reddish orange.
111,Reddish orange,duck,The duck is Reddish orange.
112,Reddish orange,iron,A iron with a Reddish orange color.
113,Reddish orange,clock,A single Reddish orange clock.
114,Reddish orange,sports ball,A Reddish orange colored sports ball.
115,Reddish orange,umbrella,A single Reddish orange umbrella.
116,Reddish orange,apple,A single Reddish orange apple.
117,Reddish orange,minivan,"A minivan, and it's Reddish orange."
118,Reddish orange,vehicle,A realistic vehicle in Reddish orange.
119,Reddish orange,sweatshirt,A Reddish orange sweatshirt.
120,Reddish orange,crocodile,A crocodile with a Reddish orange color.
121,Reddish orange,bicycle,A bicycle with a Reddish orange color.
122,Reddish orange,bus,A bus with a Reddish orange color.
123,Reddish orange,sports car,The sports car is Reddish orange.
124,Reddish orange,remote,A Reddish orange remote.
125,Reddish orange,boxing glove,A single Reddish orange boxing glove.
126,Reddish orange,pants,A realistic pants in Reddish orange.
127,Reddish orange,desk,A Reddish orange colored desk.
128,Reddish orange,papaya,The papaya is Reddish orange.
129,Reddish orange,bear,A bear that is entirely Reddish orange.
130,Reddish orange,mango,A mango that is entirely Reddish orange.
131,Reddish orange,skateboard,A skateboard that is entirely Reddish orange.
132,Reddish orange,fan,A fan in a Reddish orange color.
133,Reddish orange,chair,"A chair, and it's Reddish orange."
134,Reddish orange,socks,A photo of a Reddish orange socks.
135,Reddish orange,couch,A single Reddish orange couch.
136,Reddish orange,jeans,A photo of a Reddish orange jeans.
137,Reddish orange,cow,An image of a Reddish orange cow.
138,Reddish orange,elephant,"A elephant, and it's Reddish orange."
139,Reddish orange,suitcase,A suitcase that is entirely Reddish orange.
