id,color_name,r,g,b,object,prompt
1,Pink,230,134,151,boxing glove,"A photo of a boxing glove in color rgb(230, 134, 151)."
2,Pink,230,134,151,clock,"A clock colored rgb(230, 134, 151)."
3,Pink,230,134,151,vehicle,"A photo of a vehicle in color rgb(230, 134, 151)."
4,Pink,230,134,151,baseball bat,"A realistic baseball bat in rgb(230, 134, 151)."
5,Pink,230,134,151,sports ball,"A sports ball with color rgb(230, 134, 151)."
6,Pink,230,134,151,umbrella,"A umbrella in rgb(230, 134, 151)."
7,Pink,230,134,151,chair,"A chair rendered in RGB color rgb(230, 134, 151)."
8,Pink,230,134,151,couch,"A couch colored rgb(230, 134, 151)."
9,Pink,230,134,151,parrot,"An image of a parrot in rgb(230, 134, 151)."
10,Pink,230,134,151,banana,"A banana with color rgb(230, 134, 151)."
11,Pink,230,134,151,wardrobe,"A wardrobe rendered in RGB color rgb(230, 134, 151)."
12,Pink,230,134,151,bus,"A photo of a bus in color rgb(230, 134, 151)."
13,Pink,230,134,151,iron,"An image of a iron in rgb(230, 134, 151)."
14,Pink,230,134,151,sweatshirt,"A sweatshirt with the color rgb(230, 134, 151)."
15,Pink,230,134,151,suitcase,"A suitcase with the color rgb(230, 134, 151)."
16,Pink,230,134,151,sponge,"A sponge colored rgb(230, 134, 151)."
17,Pink,230,134,151,skateboard,"A skateboard with the color rgb(230, 134, 151)."
18,Pink,230,134,151,oven,"An image of a oven in rgb(230, 134, 151)."
19,Pink,230,134,151,bicycle,"An image of a bicycle in rgb(230, 134, 151)."
20,Pink,230,134,151,ruler,"A ruler with color rgb(230, 134, 151)."
21,Red,185,40,66,bus,"A bus colored rgb(185, 40, 66)."
22,Red,185,40,66,desk,"A desk with color rgb(185, 40, 66)."
23,Red,185,40,66,parrot,"A realistic parrot in rgb(185, 40, 66)."
24,Red,185,40,66,clock,"An image of a clock in rgb(185, 40, 66)."
25,Red,185,40,66,mango,"A mango rendered in RGB color rgb(185, 40, 66)."
26,Red,185,40,66,banana,"An image of a banana in rgb(185, 40, 66)."
27,Red,185,40,66,jeans,"An image of a jeans in rgb(185, 40, 66)."
28,Red,185,40,66,microwave,"A photo of a microwave in color rgb(185, 40, 66)."
29,Red,185,40,66,taxi,"A taxi with color rgb(185, 40, 66)."
30,Red,185,40,66,sweatshirt,"A sweatshirt with the color rgb(185, 40, 66)."
31,Red,185,40,66,tie,"A tie rendered in RGB color rgb(185, 40, 66)."
32,Red,185,40,66,apple,"A photo of a apple in color rgb(185, 40, 66)."
33,Red,185,40,66,fan,"A fan rendered in RGB color rgb(185, 40, 66)."
34,Red,185,40,66,umbrella,"A realistic umbrella in rgb(185, 40, 66)."
35,Red,185,40,66,pants,"A pants colored rgb(185, 40, 66)."
36,Red,185,40,66,duck,"A duck with color rgb(185, 40, 66)."
37,Red,185,40,66,wardrobe,"A photo of a wardrobe in color rgb(185, 40, 66)."
38,Red,185,40,66,ruler,"An image of a ruler in rgb(185, 40, 66)."
39,Red,185,40,66,sponge,"A sponge in rgb(185, 40, 66)."
40,Red,185,40,66,orange,"A photo of a orange in color rgb(185, 40, 66)."
41,Yellowish pink,234,154,144,bus,"A bus colored rgb(234, 154, 144)."
42,Yellowish pink,234,154,144,remote,"A remote colored rgb(234, 154, 144)."
43,Yellowish pink,234,154,144,guava,"An image of a guava in rgb(234, 154, 144)."
44,Yellowish pink,234,154,144,baseball bat,"A photo of a baseball bat in color rgb(234, 154, 144)."
45,Yellowish pink,234,154,144,apple,"A apple rendered in RGB color rgb(234, 154, 144)."
46,Yellowish pink,234,154,144,suitcase,"A realistic suitcase in rgb(234, 154, 144)."
47,Yellowish pink,234,154,144,sweatshirt,"A sweatshirt with the color rgb(234, 154, 144)."
48,Yellowish pink,234,154,144,sponge,"A sponge in rgb(234, 154, 144)."
49,Yellowish pink,234,154,144,boxing glove,"A boxing glove with the color rgb(234, 154, 144)."
50,Yellowish pink,234,154,144,mug,"A mug rendered in RGB color rgb(234, 154, 144)."
51,Yellowish pink,234,154,144,iron,"A iron rendered in RGB color rgb(234, 154, 144)."
52,Yellowish pink,234,154,144,desk,"A desk colored rgb(234, 154, 144)."
53,Yellowish pink,234,154,144,elephant,"A elephant with the color rgb(234, 154, 144)."
54,Yellowish pink,234,154,144,skateboard,"A skateboard colored rgb(234, 154, 144)."
55,Yellowish pink,234,154,144,chair,"A chair colored rgb(234, 154, 144)."
56,Yellowish pink,234,154,144,clock,"A realistic clock in rgb(234, 154, 144)."
57,Yellowish pink,234,154,144,taxi,"A taxi with color rgb(234, 154, 144)."
58,Yellowish pink,234,154,144,ruler,"A ruler in rgb(234, 154, 144)."
59,Yellowish pink,234,154,144,teapot,"A teapot with the color rgb(234, 154, 144)."
60,Yellowish pink,234,154,144,football helmet,"A football helmet with color rgb(234, 154, 144)."
61,Reddish orange,215,71,42,snowboard,"A snowboard in rgb(215, 71, 42)."
62,Reddish orange,215,71,42,minivan,"An image of a minivan in rgb(215, 71, 42)."
63,Reddish orange,215,71,42,clock,"A realistic clock in rgb(215, 71, 42)."
64,Reddish orange,215,71,42,microwave,"A microwave in rgb(215, 71, 42)."
65,Reddish orange,215,71,42,wardrobe,"A wardrobe with the color rgb(215, 71, 42)."
66,Reddish orange,215,71,42,bear,"An image of a bear in rgb(215, 71, 42)."
67,Reddish orange,215,71,42,desk,"A desk with color rgb(215, 71, 42)."
68,Reddish orange,215,71,42,bicycle,"A photo of a bicycle in color rgb(215, 71, 42)."
69,Reddish orange,215,71,42,skateboard,"A skateboard in rgb(215, 71, 42)."
70,Reddish orange,215,71,42,crocodile,"A photo of a crocodile in color rgb(215, 71, 42)."
71,Reddish orange,215,71,42,cow,"A cow with the color rgb(215, 71, 42)."
72,Reddish orange,215,71,42,sweatshirt,"A sweatshirt with the color rgb(215, 71, 42)."
73,Reddish orange,215,71,42,couch,"A realistic couch in rgb(215, 71, 42)."
74,Reddish orange,215,71,42,oven,"A oven with the color rgb(215, 71, 42)."
75,Reddish orange,215,71,42,tie,"A tie rendered in RGB color rgb(215, 71, 42)."
76,Reddish orange,215,71,42,apple,"A apple rendered in RGB color rgb(215, 71, 42)."
77,Reddish orange,215,71,42,jeans,"A realistic jeans in rgb(215, 71, 42)."
78,Reddish orange,215,71,42,mango,"A mango rendered in RGB color rgb(215, 71, 42)."
79,Reddish orange,215,71,42,banana,"A banana with color rgb(215, 71, 42)."
80,Reddish orange,215,71,42,baseball bat,"A baseball bat colored rgb(215, 71, 42)."
81,Reddish brown,122,44,38,suitcase,"A suitcase in rgb(122, 44, 38)."
82,Reddish brown,122,44,38,parrot,"A parrot with the color rgb(122, 44, 38)."
83,Reddish brown,122,44,38,tie,"A tie in rgb(122, 44, 38)."
84,Reddish brown,122,44,38,oven,"A photo of a oven in color rgb(122, 44, 38)."
85,Reddish brown,122,44,38,guava,"A guava with the color rgb(122, 44, 38)."
86,Reddish brown,122,44,38,taxi,"A taxi in rgb(122, 44, 38)."
87,Reddish brown,122,44,38,teapot,"An image of a teapot in rgb(122, 44, 38)."
88,Reddish brown,122,44,38,duck,"A duck with the color rgb(122, 44, 38)."
89,Reddish brown,122,44,38,football helmet,"A photo of a football helmet in color rgb(122, 44, 38)."
90,Reddish brown,122,44,38,clock,"A clock with color rgb(122, 44, 38)."
91,Reddish brown,122,44,38,sports ball,"A realistic sports ball in rgb(122, 44, 38)."
92,Reddish brown,122,44,38,umbrella,"A photo of a umbrella in color rgb(122, 44, 38)."
93,Reddish brown,122,44,38,apple,"A apple rendered in RGB color rgb(122, 44, 38)."
94,Reddish brown,122,44,38,minivan,"A realistic minivan in rgb(122, 44, 38)."
95,Reddish brown,122,44,38,vehicle,"A photo of a vehicle in color rgb(122, 44, 38)."
96,Reddish brown,122,44,38,microwave,"A realistic microwave in rgb(122, 44, 38)."
97,Reddish brown,122,44,38,baseball bat,"A baseball bat colored rgb(122, 44, 38)."
98,Reddish brown,122,44,38,sweatshirt,"A photo of a sweatshirt in color rgb(122, 44, 38)."
99,Reddish brown,122,44,38,candle,"A candle with the color rgb(122, 44, 38)."
100,Reddish brown,122,44,38,socks,"A socks with the color rgb(122, 44, 38)."
101,Orange,220,125,52,ruler,"A ruler with color rgb(220, 125, 52)."
102,Orange,220,125,52,wardrobe,"A realistic wardrobe in rgb(220, 125, 52)."
103,Orange,220,125,52,sports car,"A photo of a sports car in color rgb(220, 125, 52)."
104,Orange,220,125,52,sponge,"A sponge with the color rgb(220, 125, 52)."
105,Orange,220,125,52,papaya,"A realistic papaya in rgb(220, 125, 52)."
106,Orange,220,125,52,desk,"A desk with the color rgb(220, 125, 52)."
