id,color,main_obj,sec_obj,prompt
1,Pink,golf ball,putting green,A Pink golf ball on a putting green.
2,Pink,taxi,building,A Pink taxi in front of a building.
3,Pink,mango,lemon,A Pink mango in a fruit bowl with a lemon.
4,Pink,computer mouse,desk,A Pink computer mouse on a desk.
5,Pink,lipstick,vanity mirror,A Pink lipstick on a vanity mirror.
6,Pink,desk,home office,A Pink desk in a home office.
7,Pink,candle,mirror,A Pink candle beside a mirror.
8,Pink,airplane,runway,A Pink airplane at the runway gate.
9,Pink,motorcycle,street corner,A Pink motorcycle on a street corner.
10,Pink,refrigerator,kitchen,A Pink refrigerator in the corner of the kitchen.
11,Pink,sports ball,gym floor,A Pink sports ball on a gym floor.
12,Pink,truck,loading dock,A Pink truck beside a loading dock.
13,Pink,boxing glove,shelf,A Pink boxing glove placed on a shelf.
14,Pink,jacket,coat rack,A Pink jacket hanging on a coat rack.
15,Pink,strawberry,dessert plate,A Pink strawberry on top of a dessert plate.
16,Red,mango,lemon,A Red mango in a fruit bowl with a lemon.
17,Red,truck,loading dock,A Red truck beside a loading dock.
18,Red,mug,books,A Red mug on a desk with books.
19,Red,wardrobe,small chair,A Red wardrobe beside a small chair.
20,Red,towel,bathroom rack,A Red towel hanging on a bathroom rack.
21,Red,surfboard,sandy beach,A Red surfboard standing on a sandy beach.
22,Red,baseball glove,bench,A Red baseball glove on a bench.
23,Red,clock,white wall,A Red clock on a white wall.
24,Red,remote,coffee table,A Red remote on a coffee table.
25,Red,microwave,kitchen shelf,A Red microwave on a kitchen shelf.
26,Red,ruler,notebook,A Red ruler beside an open notebook.
27,Red,sports ball,gym floor,A Red sports ball on a gym floor.
28,Red,T-shirt,table,A Red T-shirt folded on a table.
29,Red,candle,mirror,A Red candle beside a mirror.
30,Red,tie,hanger,A Red tie draped over a hanger.
31,Orange,boxing glove,shelf,A Orange boxing glove placed on a shelf.
32,Orange,lipstick,vanity mirror,A Orange lipstick on a vanity mirror.
33,Orange,apple,plate,A Orange apple on a white plate.
34,Orange,wrench,toolbox,A Orange wrench beside a toolbox.
35,Orange,minivan,driveway,A Orange minivan parked in a driveway.
36,Orange,ruler,notebook,A Orange ruler beside an open notebook.
37,Orange,jacket,coat rack,A Orange jacket hanging on a coat rack.
38,Orange,horse,stable,A Orange horse standing in a stable.
39,Orange,boat,pier,A Orange boat docked at a pier.
40,Orange,mug,books,A Orange mug on a desk with books.
41,Orange,motorcycle,street corner,A Orange motorcycle on a street corner.
42,Orange,truck,loading dock,A Orange truck beside a loading dock.
43,Orange,owl,wooden stump,A Orange owl perched on a wooden stump.
44,Orange,bus,bus stop,A Orange bus at a bus stop.
45,Orange,cow,wooden fence,A Orange cow near a wooden fence.
46,Brown,sheep,green field,A Brown sheep grazing on a green field.
47,Brown,surfboard,sandy beach,A Brown surfboard standing on a sandy beach.
48,Brown,book,nightstand,A Brown book on a nightstand.
49,Brown,broccoli,cutting board,A Brown broccoli beside a cutting board.
50,Brown,knife,cutting board,A Brown knife on a cutting board.
51,Brown,coat,door,A Brown coat hanging near the door.
52,Brown,wallet,wooden table,A Brown wallet on a wooden table.
53,Brown,jeep,dirt road,A Brown jeep driving along a dirt road.
